nct_id,brief_title,conditions,min_age,max_age,sex,required_conditions,excluded_conditions
NCT100000,A Study Evaluating Treatment for Type 2 diabetes mellitus,['Type 2 diabetes mellitus'],18,85.0,ALL,['Type 2 diabetes mellitus'],['Major depressive disorder']
NCT100001,A Study Evaluating Treatment for Type 2 diabetes mellitus,['Type 2 diabetes mellitus'],18,75.0,ALL,['Type 2 diabetes mellitus'],[]
NCT100002,A Study Evaluating Treatment for Hypertension,['Hypertension'],18,,ALL,['Hypertension'],[]
NCT100003,A Study Evaluating Treatment for Hypertension,['Hypertension'],30,75.0,ALL,['Hypertension'],[]
NCT100004,A Study Evaluating Treatment for Breast cancer,['Breast cancer'],30,,ALL,['Breast cancer'],[]
NCT100005,A Study Evaluating Treatment for Breast cancer,['Breast cancer'],21,,ALL,['Breast cancer'],[]
NCT100006,A Study Evaluating Treatment for Asthma,['Asthma'],30,75.0,ALL,['Asthma'],['Coronary artery disease']
NCT100007,A Study Evaluating Treatment for Asthma,['Asthma'],30,85.0,ALL,['Asthma'],['Hypothyroidism']
NCT100008,A Study Evaluating Treatment for Major depressive disorder,['Major depressive disorder'],21,65.0,ALL,['Major depressive disorder'],[]
NCT100009,A Study Evaluating Treatment for Major depressive disorder,['Major depressive disorder'],18,65.0,ALL,['Major depressive disorder'],['Type 2 diabetes mellitus']
NCT100010,A Study Evaluating Treatment for Rheumatoid arthritis,['Rheumatoid arthritis'],30,75.0,ALL,['Rheumatoid arthritis'],[]
NCT100011,A Study Evaluating Treatment for Rheumatoid arthritis,['Rheumatoid arthritis'],18,65.0,ALL,['Rheumatoid arthritis'],[]
NCT100012,A Study Evaluating Treatment for Chronic kidney disease,['Chronic kidney disease'],18,65.0,ALL,['Chronic kidney disease'],[]
NCT100013,A Study Evaluating Treatment for Chronic kidney disease,['Chronic kidney disease'],21,65.0,ALL,['Chronic kidney disease'],[]
NCT100014,A Study Evaluating Treatment for Coronary artery disease,['Coronary artery disease'],21,,ALL,['Coronary artery disease'],[]
NCT100015,A Study Evaluating Treatment for Coronary artery disease,['Coronary artery disease'],30,75.0,ALL,['Coronary artery disease'],['Asthma']
NCT100016,A Study Evaluating Treatment for Osteoarthritis,['Osteoarthritis'],21,,ALL,['Osteoarthritis'],[]
NCT100017,A Study Evaluating Treatment for Osteoarthritis,['Osteoarthritis'],18,65.0,ALL,['Osteoarthritis'],['Rheumatoid arthritis']
NCT100018,A Study Evaluating Treatment for Hypothyroidism,['Hypothyroidism'],21,,ALL,['Hypothyroidism'],['Type 2 diabetes mellitus']
NCT100019,A Study Evaluating Treatment for Hypothyroidism,['Hypothyroidism'],30,65.0,ALL,['Hypothyroidism'],[]
